variant_id,base_case,front_group_scale,rear_group_scale,stop_to_rear_delta,rear_spacing_delta,image_plane_delta,TTL_mm,BFL_mm,image_height_mm,max_pass_field_deg,failure_field,failure_ray,failure_surface,failure_type,geometry_status,trace_status,gate_A_BFL,gate_B_field60,gate_C_IH3,gate_D_IH4,notes
GRID_001,CN114_Emb1_V2_nearest,0.8,0.7,0.0,-0.1,0.4,13.049400,2.323000,1.708330,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_002,CN114_Emb1_V2_nearest,0.8,0.7,0.02,-0.1,0.4,13.049400,2.323000,1.712805,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_003,CN114_Emb1_V2_nearest,0.8,0.85,0.0,-0.1,0.4,13.885200,2.323000,1.937132,35.0,45.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_004,CN114_Emb1_V2_nearest,0.8,0.85,0.02,-0.1,0.4,13.885200,2.323000,1.939636,35.0,45.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_005,CN114_Emb1_V2_nearest,0.8,1.0,0.0,-0.1,0.4,14.721000,2.323000,2.176477,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_006,CN114_Emb1_V2_nearest,0.8,1.0,0.02,-0.1,0.4,14.721000,2.323000,2.177332,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_007,CN114_Emb1_V2_nearest,0.8,1.15,0.0,-0.1,0.4,15.556800,2.323000,2.425457,NONE,0.0,ep_px;ep_mx;ep_py;ep_my;in_p7;in_m7,VC7;VC7;VC7;VC7;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_008,CN114_Emb1_V2_nearest,0.8,1.15,0.02,-0.1,0.4,15.556800,2.323000,2.424857,NONE,0.0,ep_px;ep_mx;ep_py;ep_my;in_p7;in_m7,VC7;VC7;VC7;VC7;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_009,CN114_Emb1_V2_nearest,0.9,0.7,0.0,-0.1,0.4,13.836400,2.323000,1.714123,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_010,CN114_Emb1_V2_nearest,0.9,0.7,0.02,-0.1,0.4,13.836400,2.323000,1.718452,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_011,CN114_Emb1_V2_nearest,0.9,0.85,0.0,-0.1,0.4,14.672200,2.323000,1.943812,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_012,CN114_Emb1_V2_nearest,0.9,0.85,0.02,-0.1,0.4,14.672200,2.323000,1.946133,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_013,CN114_Emb1_V2_nearest,0.9,1.0,0.0,-0.1,0.4,15.508000,2.323000,2.184128,0.0,20.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_014,CN114_Emb1_V2_nearest,0.9,1.0,0.02,-0.1,0.4,15.508000,2.323000,2.184763,0.0,20.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_015,CN114_Emb1_V2_nearest,0.9,1.15,0.0,-0.1,0.4,16.343800,2.323000,2.434142,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_016,CN114_Emb1_V2_nearest,0.9,1.15,0.02,-0.1,0.4,16.343800,2.323000,2.433283,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_017,CN114_Emb1_V2_nearest,1.0,0.7,0.0,-0.1,0.4,14.623400,2.323000,1.722212,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_018,CN114_Emb1_V2_nearest,1.0,0.7,0.02,-0.1,0.4,14.623400,2.323000,1.726364,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_019,CN114_Emb1_V2_nearest,1.0,0.85,0.0,-0.1,0.4,15.459200,2.323000,1.953141,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_020,CN114_Emb1_V2_nearest,1.0,0.85,0.02,-0.1,0.4,15.459200,2.323000,1.955237,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_021,CN114_Emb1_V2_nearest,1.0,1.0,0.0,-0.1,0.4,16.295000,2.323000,2.194817,60.0,65.0,ep_py,VC10,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_022,CN114_Emb1_V2_nearest,1.0,1.0,0.02,-0.1,0.4,16.295000,2.323000,2.195178,60.0,65.0,ep_my,VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_023,CN114_Emb1_V2_nearest,1.0,1.15,0.0,-0.1,0.4,17.130800,2.323000,2.446279,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_024,CN114_Emb1_V2_nearest,1.0,1.15,0.02,-0.1,0.4,17.130800,2.323000,2.445095,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_025,CN114_Emb1_V2_nearest,1.1,0.7,0.0,-0.1,0.4,15.410400,2.323000,1.733788,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_026,CN114_Emb1_V2_nearest,1.1,0.7,0.02,-0.1,0.4,15.410400,2.323000,1.737764,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_027,CN114_Emb1_V2_nearest,1.1,0.85,0.0,-0.1,0.4,16.246200,2.323000,1.966496,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_028,CN114_Emb1_V2_nearest,1.1,0.85,0.02,-0.1,0.4,16.246200,2.323000,1.968361,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_029,CN114_Emb1_V2_nearest,1.1,1.0,0.0,-0.1,0.4,17.082000,2.323000,2.210125,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_030,CN114_Emb1_V2_nearest,1.1,1.0,0.02,-0.1,0.4,17.082000,2.323000,2.210196,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_031,CN114_Emb1_V2_nearest,1.1,1.15,0.0,-0.1,0.4,17.917800,2.323000,2.463665,20.0,35.0,ep_py;ep_my,VC10;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_032,CN114_Emb1_V2_nearest,1.1,1.15,0.02,-0.1,0.4,17.917800,2.323000,2.462134,20.0,35.0,ep_py;ep_my,VC10;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_033,CN114_Emb1_V2_nearest,0.9,0.7,0.02,-0.1,0.4,15.508000,2.323000,1.947524,0.0,20.0,ep_py,VC10,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_034,CN114_Emb1_V2_nearest,0.9,0.85,0.02,-0.1,0.4,15.508000,2.323000,2.088579,50.0,55.0,ep_py,VC10,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_035,CN114_Emb1_V2_nearest,0.9,1.15,0.02,-0.1,0.4,15.508000,2.323000,2.254049,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_036,CN114_Emb1_V2_nearest,0.9,1.3,0.02,-0.1,0.4,15.508000,2.323000,2.306160,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_037,CN114_Emb1_V2_nearest,1.0,0.7,0.02,-0.1,0.4,16.295000,2.323000,1.956613,20.0,35.0,ep_py,VC10,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_038,CN114_Emb1_V2_nearest,1.0,0.85,0.02,-0.1,0.4,16.295000,2.323000,2.098455,55.0,60.0,ep_py,VC11,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_039,CN114_Emb1_V2_nearest,1.0,1.15,0.02,-0.1,0.4,16.295000,2.323000,2.264848,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_040,CN114_Emb1_V2_nearest,1.0,1.3,0.02,-0.1,0.4,16.295000,2.323000,2.317241,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_041,CN114_Emb1_V2_nearest,1.1,0.7,0.02,-0.1,0.4,17.082000,2.323000,1.969719,35.0,45.0,ep_py,VC10,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_042,CN114_Emb1_V2_nearest,1.1,0.85,0.02,-0.1,0.4,17.082000,2.323000,2.112697,60.0,65.0,ep_py,VC11,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,PASS,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_043,CN114_Emb1_V2_nearest,1.1,1.15,0.02,-0.1,0.4,17.082000,2.323000,2.280420,45.0,50.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
MAG_044,CN114_Emb1_V2_nearest,1.1,1.3,0.02,-0.1,0.4,17.082000,2.323000,2.333220,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,rear_radius_only; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
FOCUS_045,CN114_Emb1_V2_nearest,1.0,1.0,0.02,-0.1,0.3,16.195000,2.223000,2.167672,60.0,65.0,ep_my,VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,FAIL,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
FOCUS_046,CN114_Emb1_V2_nearest,1.0,1.0,0.02,-0.1,0.4,16.295000,2.323000,2.195178,60.0,65.0,ep_my,VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
FOCUS_047,CN114_Emb1_V2_nearest,1.0,1.0,0.02,-0.1,0.5,16.395000,2.423000,2.222683,60.0,65.0,ep_my,VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
FOCUS_048,CN114_Emb1_V2_nearest,1.0,1.0,0.02,-0.1,0.6,16.495000,2.523000,2.250189,60.0,65.0,ep_my,VC8,vignetting,GATE1_PASS_GEOMETRY,PARTIAL,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
